app,language,newcomparableid,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
Description_Clue,en,0Description_Clueen,0.01950844352832064,0.05083811716176569,0.03302732248557731,0.10542819648981094,0.0873080264776945,0.040504957200028,0.06953906142152846,0.01152661323430948,0.08879768000915647,0.02055565770715475,0.028953184362035245,0.39240623991936446,0.01782689116662368,0.03377964035607874
Description_Flo,en,1Description_Floen,0.050121573428623376,0.06075757902581245,0.032367202220484614,0.043613821640610693,0.10987407928332686,0.1818580757593736,0.08646248104050755,0.041237399959936735,0.11889632197562605,0.032667115691583606,0.04031873068306595,0.0961702469503507,0.047232530219480394,0.05842285957187414
Description_Period Tracker Lite,en,2Description_Period Tracker Liteen,0.062483601595158686,0.09056679487403016,0.09251486932625994,0.05734894890920259,0.06228611501865089,0.017207415599841624,0.11208837238373234,0.13959266979945822,0.0161848088784609,0.08095686866436154,0.03601138654630631,0.019295465177856387,0.1851127168178209,0.028349959896877407
Description_Bellabeat,en,3Description_Bellabeaten,0.005335297496640123,0.005648931507676025,0.02662942007264064,0.009230866953294026,0.17872473392471874,0.008553857041988522,0.23284620373633516,0.04508851276768837,0.07869205859860813,0.11018408265372273,0.0799395796871977,0.1624320053775591,0.014296400766761507,0.04239804664975964
Description_Period Tracker (Sevenlogics),en,4Description_Period Tracker (Sevenlogics)en,0.02524780046660453,0.032367276569129896,0.12022823787410744,0.0643756709410809,0.18984464480599855,0.01999635468237102,0.05950810758804437,0.07592765994486399,0.03462139033945277,0.07636716893175617,0.04956505802110769,0.09173479047894943,0.10761159444227815,0.052604262260138056
Description_Woman Log,en,5Description_Woman Logen,0.04135925340233371,0.14228165976237506,0.0437037993920967,0.12097617965191602,0.1095058168983087,0.0455654283054173,0.025083478318993,0.019000473846972454,0.060736474266741426,0.037772470316849646,0.04545466718263924,0.24420449524186552,0.048520367196761074,0.015835398648050614
Description_Glow,en,6Description_Glowen,0.07500330037582899,0.012901072057866258,0.014326568090109505,0.010708310099653317,0.08293443210422993,0.19895498223195318,0.22292644125409425,0.009752464747725753,0.07084983615786769,0.024376527735148555,0.011734404667367925,0.028566560659965035,0.03442464054969605,0.20254045778901855
Description_Ovia,en,7Description_Oviaen,0.016809355345321818,0.0357337009627372,0.03634960851632059,0.05271324953064323,0.04203025000169873,0.06392090367153287,0.05023101547267288,0.039866846753284335,0.40556517280638216,0.011443576513556764,0.10225479253567755,0.0718742322991602,0.015684854798018934,0.055522432131692764
Description_Maya,en,8Description_Mayaen,0.3112267737160437,0.0998693206202006,0.026884131174301728,0.01841297775536077,0.05379669942194596,0.08955324769485742,0.047388423670781776,0.013973459939006717,0.05043703243936761,0.043546109064482155,0.03016272818786092,0.02181696330662817,0.13062992787454278,0.062302229256602004
Description_Eve,en,9Description_Eveen,0.16941182092778034,0.01435931283631362,0.006296060307067819,0.011785676860017701,0.05512792035005987,0.11303344264742918,0.1368248629383743,0.009894222774892113,0.07016265871934593,0.15860674288123847,0.01793295341776684,0.06706537572899833,0.025633234425913542,0.14386570093338377
Description_Ladytimer,en,10Description_Ladytimeren,0.19120148706715553,0.041304475875222124,0.05280597406672314,0.029298372063203716,0.03894940258469433,0.04011803743196651,0.07473394363187254,0.043256043712608515,0.01744721123832278,0.0950453534256667,0.026124792764312586,0.026557198713999242,0.29150349446572366,0.03165420411387458
Description_Period Tracker (Wachanga),en,11Description_Period Tracker (Wachanga)en,0.0630490779876709,0.0505283284932375,0.05046106586232781,0.021790443186182527,0.11863459162414074,0.10622467135544866,0.052469160640612245,0.11792353035416454,0.027056605368852616,0.09495762698352336,0.05685828262940049,0.05023925076238811,0.08581759536173195,0.1039897682145238
Description_Pinkbird,en,12Description_Pinkbirden,0.018496280536055565,0.48744827453047035,0.1913816134445369,0.06337380857439712,0.026800687657669187,0.07729147349018603,0.005471153668622719,0.018558755971025676,0.017227950599044563,0.008131881058216096,0.01567240443546325,0.043607013148721306,0.019906040353816934,0.006632653600536287
Description_Kindara,en,13Description_Kindaraen,0.016017331450711936,0.0645169980591163,0.21111409016884863,0.1993528604041785,0.036616232339292766,0.023295220162253827,0.014563117839861662,0.01023521352908574,0.2845624390989542,0.006834399412036873,0.03461692605633289,0.034111111983656885,0.009329816047102212,0.05483424465637654
Description_Natural Cycles,en,14Description_Natural Cyclesen,0.020086326636373997,0.020179360755719244,0.010637975035933778,0.056756618432700634,0.05301223024725914,0.010481311025796459,0.07513882163912058,0.06272309767082333,0.08207108806818723,0.10374037926085293,0.09778960421681404,0.36864379793405533,0.018616699357517065,0.020122683979570864
Description_Fertility Friend,en,15Description_Fertility Frienden,0.016647522209677846,0.036682356335222724,0.2193431628867984,0.14063751930370927,0.09158540717326105,0.07867805040441453,0.057743348996154964,0.0477724859432783,0.08553557894192636,0.013976232026470825,0.06279831662541255,0.057421743834856896,0.01901059749070555,0.07216767587233335
Description_Period Tracker (Living Better),en,16Description_Period Tracker (Living Better)en,0.03671169178560376,0.054078447067877275,0.11126815371681005,0.09136192227015272,0.059645966242533176,0.023744245944544672,0.11486258530057966,0.10063668777002022,0.027526601178396958,0.11094033154658973,0.04628084311261773,0.03523021177679766,0.15887335051666013,0.028838952269870786
Description_Woom,en,17Description_Woomen,0.0220544810523279,0.009505652525695041,0.01057990847621113,0.0137069862219505,0.08088439116254449,0.15588372150668875,0.3017069108784199,0.01484857521718368,0.05925087936921045,0.07741962726504426,0.03160506149288267,0.04384897054405883,0.03363048476167023,0.14507435435079968
Description_Nurx,en,18Description_Nurxen,0.003810387061093934,0.003413870488293469,0.0017122686025686563,0.0222110778093338,4.2754976311698556e-4,3.2926861640589775e-4,0.005727786673378432,0.1569069679826498,0.008722675452008843,0.026456079725176097,0.7519748538732529,0.01596250240691006,8.180321397958324e-4,0.0015266772388713434
Description_Ava,en,19Description_Avaen,0.47203930335817856,0.1256721230543917,0.023770561538549374,0.04947338636447966,0.0034354585747678355,0.012623759636244358,0.007967185690631595,0.004175289401518967,0.017736873338071744,0.028090022611831956,0.05674355270093656,0.010009298089971707,0.16795099368027877,0.020312186778937757
Description_Ovagraph,en,20Description_Ovagraphen,0.026938284887000917,0.08804207518696786,0.09682109989225865,0.11968907599803061,0.05808625954668969,0.10581434227060527,0.028429650241741912,0.15533113675191998,0.07665968192741275,0.030208707274869084,0.069224021025002,0.044200507225468755,0.030653295456431806,0.06990186590701342
Description_Femm,en,21Description_Femmen,0.33678475045599043,0.012387602447415703,0.015168214807636105,0.006082491116103483,0.025314418942434712,0.15116268245037645,0.11582586695440114,0.012600139202550053,0.032679560320684684,0.11549152816296555,0.02130367295758333,0.010602786653907969,0.07910146432695911,0.06549482783302665
Description_Tempdrop,en,22Description_Tempdropen,0.1773318321298575,0.013911212991934008,0.013585540429630782,0.005782216521129158,0.025262372608995064,0.016096008929162055,0.10763735338987317,0.06117024892591871,0.019385083744782605,0.09916121093556285,0.031300277268746866,0.006205440110352356,0.40506352903321385,0.018107671720645157
Description_Easy Period,en,23Description_Easy Perioden,0.15521716449875383,0.004127145235543139,0.016673866703058593,0.00442495784482162,0.08129935255274176,0.019480842782650144,0.10623098787982599,0.060713815214694475,0.06013137965201167,0.1810448690521298,0.01614779493302194,0.006416127711418085,0.12306236618605908,0.16502932684961708
Description_Woman Log (AvvaStyle),en,24Description_Woman Log (AvvaStyle)en,0.023016079771332444,0.052968637450248934,0.18796799589763397,0.0974133416719269,0.17079875438357703,0.016177022852934896,0.07399574930905146,0.11394414545502514,0.027460145943041425,0.028948286757804455,0.057046791649918306,0.038160862833319695,0.077080414973897865,0.03502176968904678
