ID,topwords
1,"pregnant, trying, conceive"
2,"best, ever, far"
3,"period, tracking, using"
4,"update, new, open"
5,"live, cant, language"
6,"must, recommended, thank"
7,"period, know, start"
8,"simple, friendly, cute"
9,"insurance, get, service"
10,"fertility, easy, chart"
11,"works, job, good"
12,"symptoms, moods, keep"
13,"tool, excellent, lots"
14,"keeps, everything, keeping"
15,"cycle, cycles, menstrual"
16,"wish, add, could"
17,"community, love, questions"
18,"days, ovulation, date"
19,"free, premium, pay"
20,"point, spot, accuracy"
21,"body, control, natural"
22,"years, year, using"
