"","app","reviews","ratings"
"1","Period Tracker Lite",45954,88083
"2","Ladytimer",3992,4086
"3","WomanLog",12426,3727
"4","Bellabeat",43480,174683
"5","Fertility Friend",5724,6457
"6","Maya",6312,27946
"7","Kindara",9401,9723
"8","Ovia",5997,28769
"9","OvaGraph",577,905
"10","GLOW",16726,75245
"11","Clue",57164,1309500
"12","Period Tracker",40111,8927
"13","Natural Cycles",3345,23668
"14","FEMM",402,4279
"15","Eve Period Tracker",11816,132281
"16","Flo",57927,2638060
"17","Ava fertility tracker",663,8302
"18","Period Tracker & Diary",386,4839
"19","Woman Log & Ovulation Tracker",167,4421
"20","Tempdrop",61,370
"21","Easy Period",235,8650
"22","Period tracker by PinkBird",1764,11796
"23","Nurx",1184,2362
"24","WOOM",1007,3877
"25","Period tracker for women",1929,133971
